gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR,Inlet_Switch_Indicator,AC_Blower_Level,WhilteLine_Left,LKA_Steering_Support,WhilteLine_Right
2017-03-08T00:00:00,36.0035091,-106.0638129,,0.667,92,1.464,1,27.78771972,1169.53125,0,1,4.5,1291,,,,,,,,,,,,,,,,,,2,0,2
2017-03-08T00:00:01,36.0034028,-106.0637674,0,0.8475,92,1.464,1,28.45258689,1206.25,0,1,4.5,,,,,220,,,,,,,,,,0.43067,-0.07182,,,2,0,2
2017-03-08T00:00:02,36.0032943,-106.0637218,0,1.507,92,1.464,1,29.74503897,1639.84375,0,1,4.5,1291,,,,,,,,,,,,,,0.78957,-0.03593,,,2,0,2
2017-03-08T00:00:03,36.0031836,-106.0636762,0,1.524,92,1.22,1,31.66507596,1617.96875,0,1,3,1291,,,,,,,,,,,,,,,,,,1,0,1
2017-03-08T00:00:04,36.0030664,-106.0636328,0,1.2095,92.5,0.976,1,33.03209258,1668.75,0,1,1.5,,,69,69,,0,0,1,0,,,,,,0.64601,0.07174,,,1,0,1
2017-03-08T00:00:05,36.0029427,-106.0635872,0,0.6215,92.5,0.976,1,33.23714507,1502.34375,0,1,1.5,1291,,,,,,,,,,,,,,0.07177,0.10763,,,1,0,1
2017-03-08T00:00:06,36.0028125,-106.0635395,0,0.2915,92.5,0.732,1,33.06316114,1092.1875,0,1,1.5,1291,,,,,,,,,,,,,,,,,,1,0,1
2017-03-08T00:00:07,36.0026801,-106.0634896,0,0,92.5,0.732,1,32.3672254,1096.09375,0,1,0,,,,,,,,,,,,,,,-0.35891,0.14352,,,,,
2017-03-08T00:00:08,36.0025499,-106.0634418,0,0,92.5,0.976,1,31.70235823,1067.1875,0,1,1.5,1291,,,,,,,,,,,,,,,,,,1,0,1
2017-03-08T00:00:09,36.0024219,-106.0633941,0,0,,0.732,1,31.07477332,1035.15625,0,1,1.5,,,,,,,,,,,,,,,-0.28713,0.14352,,,,,
